Codigo	Armazem	Descricao
GERES99CNO	01	REGUA CRISTAL 30CMDELLO 3107H0500
GERES99CNO	07	REGUA CRISTAL 30CMDELLO 3107H0500
GERES99COC	01	BOTA PVC PRETA CANO ALTO 32CM BIQ. PALMILHA ACO CA40793 T41
GERES99COC	10	BOTA PVC PRETA CANO ALTO 32CM BIQ. PALMILHA ACO CA40793 T41
GERES99COE	01	BOTA PVC PRETA CANO ALTO 32CM BIQ. PALMILHA ACO CA40793 T43
GERES99COE	06	BOTA PVC PRETA CANO ALTO 32CM BIQ. PALMILHA ACO CA40793 T43
GERES99COE	10	BOTA PVC PRETA CANO ALTO 32CM BIQ. PALMILHA ACO CA40793 T43
GERES99COF	01	BOTA PVC PRETA CANO ALTO 32CM BIQ. PALMILHA ACO CA40793 T44
GERES99COF	10	BOTA PVC PRETA CANO ALTO 32CM BIQ. PALMILHA ACO CA40793 T44
GERES99COH	01	BANDOLEIRA AUROK TATICA 1/2 PONTAS PRETA
GERES99CR7	14	PORCA GIRATORIA JIC 37 90 212-12 X 2 X2
GERES99CSJ	01	CARNE DE CHARQUE
GERES99CSY	01	ACUCAR TRITURADO
GERES99CSY	07	ACUCAR TRITURADO
GERES99CSY	10	ACUCAR TRITURADO
GERES99CSZ	01	ARROZ PARBOILIZADO
